icao,wmo,faa,name,country,state,latitude,longitude,elevation,begin,end,station id,hadisd duplicate
KOAK,724930,23230,METRO OAKLAND INTERNATIONAL AIRPORT,US,CA,37.718,-122.233,1.5,19430101,20220228,724930-23230,FALSE
KOGD,725750,24126,OGDEN-HINCKLEY AIRPORT,US,UT,41.194,-112.017,1356.1,19730101,20220228,725750-24126,FALSE
KOTH,726917,24284,NORTH BEND MUNICIPAL AIRPORT,US,OR,43.413,-124.244,5.2,19770101,20220228,726917-24284,FALSE
KOXR,723927,93110,OXNARD AIRPORT,US,CA,34.2,-119.204,11.9,19440401,20220228,723927-93110,FALSE
KPDX,726980,24229,PORTLAND INTERNATIONAL AIRPORT,US,OR,45.596,-122.609,6.7,19360501,20220228,726980-24229,FALSE
KPHX,722780,23183,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT,US,AZ,33.428,-112.004,339.2,19730101,20220228,722780-23183,FALSE
KPRC,723723,23184,ERNEST A. LOVE FIELD AIRPORT,US,AZ,34.649,-112.422,1527.8,19900228,20220228,723723-23184,FALSE
KPSP,722868,93138,PALM SPRINGS REGIONAL AIRPORT,US,CA,33.833,-116.5,145,19430510,20051231,722868-99999,FALSE
KPUB,724640,93058,PUEBLO MEMORIAL AIRPORT,US,CO,38.289,-104.506,1424.5,19421001,20220228,724640-93058,FALSE
KPUC,724700,99999,CARBON COUNTY REGIONAL AIRPORT,US,UT,39.617,-110.75,1799,19770827,20051231,724700-99999,FALSE
KRAL,722869,03171,RIVERSIDE MUNICIPAL AIRPORT,US,CA,33.95,-117.433,249,19770116,20051231,722869-99999,FALSE
KRBL,725910,24216,RED BLUFF MUNICIPAL AIRPORT,US,CA,40.152,-122.255,108.1,19730101,20220228,725910-24216,FALSE
KRDD,725915,24257,REDDING MUNICIPAL AIRPORT,US,CA,40.518,-122.299,153,19440901,19910331,725915-24257,FALSE
KRNO,724880,23185,RENO TAHOE INTERNATIONAL AIRPORT,US,NV,39.508,-119.768,1342.5,19430105,20220228,724880-23185,FALSE
KSAC,724830,23232,SACRAMENTO EXECUTIVE AIRPORT,US,CA,38.507,-121.496,5.9,19730101,20220228,724830-23232,FALSE
KSAF,723656,23049,SANTA FE MUNICIPAL AIRPORT,US,NM,35.611,-106.096,1916.3,19460801,20220228,723656-23049,FALSE
KSAN,722900,23188,SAN DIEGO INTERNATIONAL AIRPORT,US,CA,32.734,-117.183,4.6,19420101,20220228,722900-23188,FALSE
KSBA,723925,23190,SANTA BARBARA MUNICIPAL AIRPORT,US,CA,34.424,-119.842,2.5,19730101,20220228,723925-23190,FALSE
KSBP,722897,93206,SAN LUIS COUNTY REGIONAL AIRPORT,US,CA,35.233,-120.633,65,19730227,20051231,722897-99999,FALSE
KSCK,724920,23237,STOCKTON METROPOLITAN AIRPORT,US,CA,37.89,-121.226,8.3,19410103,20220228,724920-23237,FALSE
KSEA,727930,24233,SEATTLE-TACOMA INTERNATIONAL AIRPORT,US,WA,47.445,-122.314,112.5,19480101,20220301,727930-24233,FALSE
KSEE,722907,53143,GILLESPIE FIELD AIRPORT,US,CA,32.833,-116.967,118,19730101,20051231,722907-99999,FALSE
KSFO,724940,23234,SAN FRANCISCO INTERNATIONAL AIRPORT,US,CA,37.62,-122.366,3.2,19730101,20220228,724940-23234,FALSE
KSGF,724400,13995,SPRINGFIELD-BRANSON REGIONAL AIRPORT,US,MO,37.24,-93.39,384.7,19730101,20220228,724400-13995,FALSE
KSJC,724945,23293,SAN JOSE INTERNATIONAL AIRPORT,US,CA,37.359,-121.924,15,19730101,20220228,724945-23293,FALSE
KSLC,725720,24127,SALT LAKE CITY INTERNATIONAL AIRPORT,US,UT,40.771,-111.965,1288.4,19411101,20220228,725720-24127,FALSE
KSMF,724839,93225,SACRAMENTO INTERNATIONAL AIRPORT,US,CA,38.701,-121.595,7.5,19730101,20220228,724839-93225,FALSE
KSNA,722977,93184,JOHN WAYNE AIRPORT,US,CA,33.68,-117.867,13,19400617,20220228,722977-93184,FALSE
KTRM,747187,03104,DESERT RESORTS REGIONAL AIRPORT,US,CA,33.632,-116.164,-36,19430712,20220228,747187-03104,FALSE
KTUS,722740,23160,TUCSON INTERNATIONAL AIRPORT,US,AZ,32.132,-110.956,777.6,19730101,20220228,722740-23160,FALSE
KTWF,725866,99999,JOSLIN FIELD MAGIC VALLEY AIRPORT,US,ID,42.483,-114.483,1265,19730101,20051231,725866-99999,FALSE
KUKI,725905,23275,UKIAH MUNICIPAL AIRPORT,US,CA,39.128,-123.2,183.7,19730101,20220228,725905-23275,FALSE
KWJF,723816,03159,GENERAL WILLIAM J. FOX AIRFIELD AIRPORT,US,CA,34.741,-118.213,712.6,19740601,20220228,723816-03159,FALSE
KYKM,727810,24243,YAKIMA AIR TERMINAL,US,WA,46.564,-120.535,321,19730101,20220228,727810-24243,FALSE
KONT,747040,03102,ONTARIO INTERNATIONAL AIRPORT,US,CA,34.067,-117.65,303.9,19421215,19991231,747040-03102,TRUE
